32.173,30.618,32.857,25.9,41.182,28.51,34.956,43.648,4
2.6861,-0.40878,-0.26125,-4.5931,0.71443,6.1505,1.3409,-0.44109,5
37.825,39.013,38.532,39.736,31.945,34.234,41.862,46.163,4
43.122,41.99,44.454,59.126,49.941,56.404,56.008,40.002,1
90.251,92.11,100.33,75.597,86.103,91.85,92.591,100.29,2
8.8686,12.131,13.528,10.016,11.711,5.5173,12.188,14.485,6
62.339,76.57,55.282,56.281,34.568,53.391,43.246,43.767,1
-22.839,-25.324,-23.003,-29.233,-25.188,-12.316,-17.896,-28.922,7
-8.7882,-8.8178,-12.241,-15.456,-11.527,-10.168,-16.801,-16.922,3
8.6976,12.417,13.65,10.173,9.6128,8.1892,9.7702,10.934,6
-14.266,-31.504,-27.138,-20,-32.304,-19.152,-14.722,-18.315,7
50.808,41.946,46.193,60.147,33.084,49.059,52.739,46.064,1
33.629,40.468,40.862,43.441,23.731,34.96,32.443,31.146,4
37.391,31.995,29.544,26.299,29.659,33.811,30.405,33.236,4
-25.04,-19.841,-23.765,-21.876,-21.034,-19.713,-18.806,-19.01,7
37.306,35.471,33.929,36.659,40.683,36.959,35.163,41.13,4
73.272,55.986,83.284,71.233,44.612,78.518,64.071,54.878,2
-21.435,-26.537,-14.613,-28.403,-23.919,-23.385,-25.596,-23.078,7
14.686,8.1902,7.0267,13.338,19.226,9.0063,12.427,7.0043,6
55.832,77.773,51.593,70.537,86.837,61.85,61.563,57.471,2
-8.5109,-10.25,-11.64,-11.975,-9.8263,-10.317,-10.333,-11.071,3
32.783,40.919,39.815,37.429,34.892,38.387,36.232,38.095,4
-19.023,-20.215,-22.729,-27.847,-16.359,-23.57,-15.978,-12.179,7
7.801,11.44,12.607,12.569,12.681,20.073,8.9251,13.243,6
-7.5624,-12.159,-6.4449,-3.4558,-8.5878,-9.7531,-10.354,-10.641,3
10.403,16.689,13.049,11.619,13.418,8.2287,13.676,15.719,6
-22.051,-34.006,-16.21,-27.902,-22.907,-15.653,-10.865,-18.817,7
-10.368,-9.8951,-13.813,-6.1455,-8.8492,-8.7057,-7.7439,-11.113,3
41.805,50.047,49.122,44.889,40.584,59.553,63.862,49.042,1
11.993,9.2044,9.0595,10.368,11.653,8.0316,8.0355,9.7558,6
-24.491,-26.909,-22.871,-23.801,-26.439,-21.078,-13.492,-26.02,7
56.382,78.241,84.341,71.504,98.133,81.573,89.277,83.769,2
91.615,88.081,96.378,95.837,90.658,109.4,95.925,94.3,2
71.086,67.183,53.679,71.062,75.507,73.095,78.345,71.631,1
70.385,69.711,78.331,78.15,81.254,54.204,77.928,58.726,2
37.955,34.61,33.306,40.455,39.838,33.627,33.356,32.958,4
-18.414,-15.628,-13.104,-13.085,-17.429,-14.096,-25.758,-20,3
-17.172,-21.178,-15.265,-14.249,-17.183,-14.971,-15.393,-11.058,3
